Age,Height(cm),Weight(kg),Running Speed(km/h),Calories Burned,Running Time(min)
44,156,83,10.5,580.7,40
28,187,96,8.0,1569.2,120
54,179,73,10.5,1254.4,100
52,154,59,10.5,1187.5,111
57,160,87,10.5,1107.2,75
21,150,52,10.5,808.8,92
29,183,65,10.5,1204.3,109
39,150,83,8.0,1023.0,88
46,168,63,8.0,916.6,102
53,151,67,10.5,1141.2,99
41,170,55,10.5,577.3,62
43,169,55,8.0,635.3,86
30,172,68,13.5,1703.1,110
52,170,97,8.0,588.5,45
55,173,80,13.5,896.6,48
32,153,84,10.5,1425.9,101
38,161,68,10.5,1168.4,103
37,171,47,8.0,130.9,21
37,169,66,10.5,1159.1,97
24,167,97,13.5,465.3,21
32,150,46,13.5,660.2,61
47,179,68,8.0,203.6,22
58,182,88,13.5,1769.3,92
26,173,74,8.0,154.5,15
48,163,82,8.0,1036.1,91
50,185,46,13.5,177.6,17
25,154,65,13.5,964.9,67
33,160,77,13.5,1745.7,106
27,173,56,13.5,624.7,52
48,180,66,13.5,981.1,65
26,162,88,13.5,575.5,29
38,165,69,13.5,1826.7,114
33,173,93,10.5,1292.0,81
20,162,71,8.0,790.3,78
41,173,86,8.0,968.3,82
37,175,72,13.5,295.4,19
53,151,60,8.0,904.5,104
54,165,59,13.5,1369.0,103
17,187,91,10.5,387.1,24
41,150,95,8.0,294.1,22
52,160,88,8.0,312.2,26
33,184,99,10.5,1384.8,78
57,178,96,10.5,1271.8,73
40,186,47,10.5,658.7,81
18,166,81,8.0,1195.0,105
56,188,95,8.0,862.7,64
31,177,51,10.5,320.0,37
48,178,65,10.5,604.0,54
55,152,53,10.5,989.2,111
22,159,83,10.5,1350.0,92
17,163,62,10.5,1128.8,101
39,161,48,13.5,1190.2,109
55,179,69,10.5,1063.6,91
33,181,58,13.5,1179.9,90
50,181,94,8.0,1518.6,113
57,181,53,8.0,230.0,32
45,175,70,13.5,569.6,35
25,150,97,10.5,2095.0,120
29,151,46,8.0,90.9,15
22,166,64,10.5,567.2,52
22,179,72,10.5,696.0,55
36,188,91,13.5,1171.6,56
19,156,51,8.0,168.4,23
33,176,88,8.0,456.8,37
28,158,52,13.5,1063.5,92
17,171,91,10.5,385.6,25
33,183,79,10.5,1205.7,85
19,150,58,8.0,350.5,45
42,158,61,13.5,1427.3,102
31,169,80,13.5,697.0,40
52,168,94,10.5,694.2,44
48,185,84,10.5,688.0,48
48,189,48,13.5,634.1,60
20,153,46,8.0,749.0,116
34,158,50,10.5,701.6,83
35,171,98,13.5,437.0,19
59,167,86,13.5,1459.1,75
51,161,48,13.5,1046.7,97
56,188,98,8.0,700.3,52
30,158,73,10.5,540.1,42
49,155,62,10.5,413.3,40
30,168,70,10.5,963.8,75
50,156,88,8.0,1469.2,120
20,165,78,10.5,481.6,37
40,154,54,10.5,572.1,60
45,165,80,10.5,612.1,44
35,150,58,10.5,783.0,81
22,186,75,8.0,1146.4,106
49,188,92,13.5,925.3,47
56,168,59,13.5,1605.4,120
35,186,52,10.5,161.8,17
17,166,58,10.5,820.3,83
21,175,67,10.5,1109.4,97
43,171,84,8.0,618.2,56
32,157,65,10.5,827.0,76
22,182,60,8.0,570.4,72
56,151,89,10.5,1141.5,71
29,179,62,10.5,168.2,15
51,169,91,13.5,2428.9,116
35,167,97,10.5,1455.1,87
28,159,68,8.0,718.5,74
32,173,70,13.5,1312.4,83
59,153,69,8.0,683.1,73
26,186,89,13.5,1194.0,60
41,153,85,8.0,1349.7,120
36,162,73,13.5,823.5,48
47,174,59,8.0,949.8,115
20,162,89,8.0,1398.2,111
39,167,45,10.5,312.5,39
18,173,69,13.5,884.0,56
38,151,51,13.5,469.6,43
53,182,53,10.5,362.6,39
24,168,68,8.0,660.2,68
23,158,45,8.0,516.9,87
30,177,88,13.5,1677.0,81
19,184,52,8.0,207.0,29
32,188,68,13.5,269.6,18
35,159,55,13.5,645.5,52
34,150,95,8.0,460.3,34
32,170,61,8.0,311.4,37
24,158,52,8.0,372.2,51
49,164,79,10.5,1050.7,76
28,184,79,13.5,396.2,22
27,154,77,8.0,523.6,51
21,171,49,10.5,482.6,59
43,172,86,8.0,1272.6,111
28,156,83,13.5,858.9,47
33,172,85,10.5,304.7,21
22,174,72,13.5,589.9,36
49,176,51,8.0,133.5,19
21,155,53,8.0,202.8,29
44,183,52,8.0,240.1,35
30,158,56,10.5,968.1,103
21,182,78,10.5,416.9,31
49,155,77,10.5,896.7,70
57,186,92,10.5,1029.8,64
35,180,99,8.0,283.6,21
38,183,67,8.0,596.5,64
21,178,68,8.0,711.5,74
18,163,81,10.5,1340.7,97
46,185,79,10.5,280.4,21
55,185,88,8.0,642.8,54
20,164,84,8.0,651.4,59
49,157,66,10.5,811.1,73
29,175,71,13.5,1670.3,102
36,185,79,8.0,945.7,89
23,170,45,8.0,777.4,119
31,177,79,8.0,729.0,69
39,153,81,10.5,1137.6,78
30,165,91,8.0,1014.9,79
39,171,58,8.0,535.9,68
35,161,47,8.0,703.1,110
45,165,45,8.0,338.3,54
36,189,49,8.0,470.2,67
45,187,70,13.5,903.1,58
40,186,99,13.5,1639.9,77
34,178,58,8.0,126.8,16
26,167,83,8.0,1036.5,93
57,159,71,8.0,358.9,35
24,188,53,8.0,762.6,102
42,167,59,10.5,631.1,64
45,150,59,10.5,960.6,95
26,188,70,10.5,772.1,66
33,170,86,13.5,459.7,23
18,150,57,8.0,927.2,113
22,164,95,10.5,543.3,34
21,153,76,8.0,1013.7,97
44,169,83,8.0,383.3,32
57,159,93,13.5,1977.9,98
21,172,96,13.5,930.6,44
34,183,76,10.5,1538.7,118
42,182,48,10.5,632.4,79
36,183,74,13.5,603.4,38
57,188,81,13.5,1943.1,102
43,159,67,8.0,569.4,61
28,169,83,8.0,1092.2,97
23,150,89,10.5,1661.7,108
19,162,59,10.5,1096.9,104
26,150,87,13.5,2317.6,120
50,154,73,10.5,720.8,58
41,165,80,8.0,1232.6,116
51,164,57,13.5,564.1,43
32,177,76,8.0,926.2,91
18,180,51,13.5,900.5,82
40,172,95,13.5,657.8,31
26,166,66,8.0,966.8,111
54,183,72,10.5,250.5,19
38,162,46,10.5,864.2,106
42,163,86,10.5,1481.8,102
59,160,89,10.5,1431.2,95
55,177,97,8.0,864.8,64
43,181,50,13.5,1297.4,117
45,184,72,8.0,552.6,54
54,180,72,10.5,759.5,60
36,166,88,10.5,994.3,65
43,158,88,8.0,318.4,25
57,159,64,13.5,370.3,26
36,157,74,8.0,273.6,27
35,170,55,8.0,603.3,78
36,162,99,8.0,310.6,22
51,154,72,13.5,1296.0,79
18,155,69,8.0,223.9,23
46,179,83,8.0,1201.6,106
50,180,77,10.5,215.2,16
38,166,45,8.0,555.3,92
19,160,71,10.5,341.5,27
22,169,96,10.5,261.3,16
31,158,57,10.5,777.2,82
43,151,85,13.5,1795.9,90
26,186,47,10.5,500.1,62
25,150,83,8.0,979.7,88
49,153,50,8.0,114.9,17
48,185,52,10.5,733.5,82
22,174,71,10.5,247.9,20
57,152,53,8.0,708.6,101
52,158,81,10.5,257.3,19
18,171,77,13.5,288.4,17
45,172,95,10.5,390.9,24
20,161,86,13.5,1060.8,57
17,159,88,13.5,647.2,33
35,183,68,13.5,419.1,28
42,159,59,10.5,344.2,35
41,179,98,13.5,1305.3,57
26,171,76,13.5,745.9,42
31,155,76,10.5,452.0,35
38,151,68,13.5,739.2,50
37,179,85,10.5,567.9,38
38,151,96,8.0,914.8,68
52,181,93,13.5,1137.9,52
50,165,93,10.5,498.3,31
46,161,96,8.0,483.7,36
41,150,56,13.5,1268.4,97
44,157,83,13.5,1096.3,59
17,162,46,10.5,681.6,88
20,164,47,8.0,481.6,75
23,157,93,10.5,392.1,25
25,159,81,13.5,1300.8,75
52,154,93,13.5,1115.5,52
35,168,61,13.5,1069.3,80
17,187,93,13.5,934.5,47
26,160,46,8.0,376.2,57
52,169,46,8.0,284.7,45
25,169,72,10.5,601.3,49
58,170,98,10.5,853.9,51
48,167,67,10.5,696.7,61
48,159,81,13.5,2014.2,114
22,183,76,10.5,508.9,37
54,175,77,8.0,515.0,50
33,179,45,10.5,427.9,54
26,158,63,10.5,1235.4,117
43,180,46,8.0,691.5,104
51,153,97,8.0,1396.4,103
37,155,88,13.5,1956.8,95
41,163,70,8.0,277.9,29
44,153,76,8.0,552.8,51
31,175,50,10.5,163.1,18
20,188,76,8.0,386.2,36
45,166,99,13.5,2030.0,95
25,168,48,10.5,287.8,36
43,155,99,13.5,2046.0,95
42,178,55,8.0,673.2,92
35,160,61,13.5,1291.1,92
44,165,82,13.5,575.2,31
33,179,68,8.0,811.1,86
59,174,49,8.0,740.4,112
57,189,96,10.5,1686.9,104
58,160,78,10.5,1430.9,108
36,156,50,10.5,866.3,100
56,175,66,8.0,878.8,94
55,171,55,13.5,1303.7,108
39,174,92,13.5,1984.4,94
48,168,60,10.5,545.5,52
49,180,77,10.5,531.8,38
21,175,53,8.0,813.5,114
59,185,50,13.5,1265.0,113
50,172,60,10.5,201.5,20
56,162,73,8.0,814.4,82
27,174,47,10.5,790.1,96
19,151,64,8.0,181.2,20
49,151,80,13.5,698.3,40
27,165,63,8.0,974.0,115
32,158,70,10.5,1303.2,105
34,177,47,10.5,447.1,55
46,162,63,13.5,1259.3,89
26,184,64,13.5,774.0,52
34,162,76,10.5,1250.1,94
54,180,51,10.5,878.9,97
35,170,96,10.5,972.6,57
52,181,85,13.5,1320.3,67
29,183,77,10.5,396.2,29
19,157,84,13.5,1880.1,104
26,151,83,10.5,1000.7,70
54,187,62,8.0,1070.6,119
17,181,84,8.0,788.7,70
43,189,45,10.5,357.4,45
24,177,55,8.0,763.3,97
58,186,72,13.5,1160.2,71
33,150,69,8.0,612.5,65
25,159,94,8.0,473.4,38
22,153,67,13.5,1070.4,72
59,184,75,8.0,873.9,87
41,159,74,8.0,1081.6,101
55,160,86,10.5,276.7,18
44,163,79,13.5,437.2,24
49,187,51,13.5,877.9,77
53,161,60,10.5,877.9,87
25,166,70,10.5,1160.5,97
34,165,92,8.0,360.2,29
37,184,96,8.0,1485.4,112
18,151,93,8.0,1537.8,120
59,160,46,10.5,615.7,77
